Survived,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,FamilySize,IsAlone,AgeGroup,FarePerPerson
0,1,22.0,1,0,2.1102132003465894,0,0,1,0,0,1,2,0,2,1.0551066001732947
1,0,38.0,1,0,4.2805931204649,1,0,0,1,0,0,2,0,3,2.14029656023245
1,0,26.0,0,0,2.188856327665703,0,0,1,0,0,1,1,1,2,2.188856327665703
1,0,35.0,1,0,3.9908341858524357,0,0,1,1,0,0,2,0,2,1.9954170929262178
0,1,35.0,0,0,2.2027647577118348,0,0,1,0,0,1,1,1,2,2.2027647577118348
0,1,29.69911764705882,0,0,2.246892662898172,0,1,0,0,0,1,1,1,2,2.246892662898172
0,1,54.0,0,0,3.967694202798607,0,0,1,1,0,0,1,1,3,3.967694202798607
0,1,2.0,3,1,3.0944457464900235,0,0,1,0,0,1,5,0,0,0.6188891492980046
1,0,27.0,0,2,2.495953738718064,0,0,1,0,0,1,3,0,2,0.831984579572688
1,0,14.0,1,0,3.436268471383741,1,0,0,0,1,0,2,0,1,1.7181342356918705
1,0,4.0,1,1,2.8735646395797834,0,0,1,0,0,1,3,0,0,0.9578548798599278
1,0,58.0,0,0,3.3160025355989236,0,0,1,1,0,0,1,1,3,3.3160025355989236
0,1,20.0,0,0,2.2027647577118348,0,0,1,0,0,1,1,1,2,2.2027647577118348
0,1,39.0,1,5,3.4742929367327062,0,0,1,0,0,1,7,0,3,0.4963275623903866
0,0,14.0,0,0,2.180891922715322,0,0,1,0,0,1,1,1,1,2.180891922715322
1,0,55.0,0,0,2.833213344056216,0,0,1,0,1,0,1,1,3,2.833213344056216
0,1,2.0,4,1,3.405355391810819,0,1,0,0,0,1,6,0,0,0.5675592319684698
1,1,29.69911764705882,0,0,2.6390573296152584,0,0,1,0,1,0,1,1,2,2.6390573296152584
0,0,31.0,1,0,2.9444389791664403,0,0,1,0,0,1,2,0,2,1.4722194895832201
1,0,29.69911764705882,0,0,2.1071782966514356,1,0,0,0,0,1,1,1,2,2.1071782966514356
0,1,35.0,0,0,3.295836866004329,0,0,1,0,1,0,1,1,2,3.295836866004329
1,1,34.0,0,0,2.6390573296152584,0,0,1,0,1,0,1,1,2,2.6390573296152584
1,0,15.0,0,0,2.2004637699272855,0,1,0,0,0,1,1,1,1,2.2004637699272855
1,1,28.0,0,0,3.597312260588446,0,0,1,1,0,0,1,1,2,3.597312260588446
0,0,8.0,3,1,3.0944457464900235,0,0,1,0,0,1,5,0,0,0.6188891492980046
1,0,38.0,1,5,3.4777725458882283,0,0,1,0,0,1,7,0,3,0.496824649412604
0,1,29.69911764705882,0,0,2.1071782966514356,1,0,0,0,0,1,1,1,2,2.1071782966514356
0,1,19.0,3,2,5.575949103146316,0,0,1,1,0,0,6,0,2,0.929324850524386
1,0,29.69911764705882,0,0,2.1837114628556327,0,1,0,0,0,1,1,1,2,2.1837114628556327
0,1,29.69911764705882,0,0,2.1855792552411137,0,0,1,0,0,1,1,1,2,2.1855792552411137
0,1,40.0,0,0,3.357621598945279,1,0,0,1,0,0,1,1,3,3.357621598945279
1,0,29.69911764705882,1,0,4.993969182787072,1,0,0,1,0,0,2,0,2,2.496984591393536
1,0,29.69911764705882,0,0,2.169053700369523,0,1,0,0,0,1,1,1,2,2.169053700369523
0,1,66.0,0,0,2.4423470353692043,0,0,1,0,1,0,1,1,4,2.4423470353692043
0,1,28.0,1,0,4.420896324687287,1,0,0,1,0,0,2,0,2,2.2104481623436434
0,1,42.0,1,0,3.970291913552122,0,0,1,1,0,0,2,0,3,1.985145956776061
1,1,29.69911764705882,0,0,2.1076888046179385,1,0,0,0,0,1,1,1,2,2.1076888046179385
0,1,21.0,0,0,2.2027647577118348,0,0,1,0,0,1,1,1,2,2.2027647577118348
0,0,18.0,2,0,2.9444389791664403,0,0,1,0,0,1,3,0,1,0.9814796597221468
1,0,14.0,1,0,2.5048481563289,1,0,0,0,0,1,2,0,1,1.25242407816445
0,0,40.0,1,0,2.348991465808201,0,0,1,0,0,1,2,0,3,1.1744957329041006
0,0,27.0,1,0,3.091042453358316,0,0,1,0,1,0,2,0,2,1.545521226679158
0,1,29.69911764705882,0,0,2.1855792552411137,1,0,0,0,0,1,1,1,2,2.1855792552411137
1,0,3.0,1,2,3.7513658711253766,1,0,0,0,1,0,4,0,0,0.9378414677813441
1,0,19.0,0,0,2.1837114628556327,0,1,0,0,0,1,1,1,2,2.1837114628556327
0,1,29.69911764705882,0,0,2.2027647577118348,0,0,1,0,0,1,1,1,2,2.2027647577118348
0,1,29.69911764705882,1,0,2.803360380906535,0,1,0,0,0,1,2,0,2,1.4016801904532674
1,0,29.69911764705882,0,0,2.169053700369523,0,1,0,0,0,1,1,1,2,2.169053700369523
0,1,29.69911764705882,2,0,3.1214482048688246,1,0,0,0,0,1,3,0,2,1.0404827349562749
0,0,18.0,1,0,2.9338568698359038,0,0,1,0,0,1,2,0,1,1.4669284349179519
0,1,7.0,4,1,3.705920919968788,0,0,1,0,0,1,6,0,0,0.6176534866614647
0,1,21.0,0,0,2.174751721484161,0,0,1,0,0,1,1,1,2,2.174751721484161
1,0,49.0,1,0,4.353230991152628,1,0,0,1,0,0,2,0,3,2.176615495576314
1,0,29.0,1,0,3.295836866004329,0,0,1,0,1,0,2,0,2,1.6479184330021646
0,1,65.0,0,1,4.142804513146981,1,0,0,1,0,0,2,0,4,2.0714022565734904
1,1,29.69911764705882,0,0,3.597312260588446,0,0,1,1,0,0,1,1,2,3.597312260588446
1,0,21.0,0,0,2.4423470353692043,0,0,1,0,1,0,1,1,2,2.4423470353692043
0,1,28.5,0,0,2.1076888046179385,1,0,0,0,0,1,1,1,2,2.1076888046179385
1,0,5.0,1,2,3.3586377672433594,0,0,1,0,1,0,4,0,0,0.8396594418108398
0,1,11.0,5,2,3.8691155044168695,0,0,1,0,0,1,8,0,0,0.4836394380521087
0,1,22.0,0,0,2.1076888046179385,1,0,0,0,0,1,1,1,2,2.1076888046179385
1,0,38.0,0,0,4.394449154672439,0,0,0,1,0,0,1,1,3,4.394449154672439
0,1,45.0,1,0,4.436455632600354,0,0,1,1,0,0,2,0,3,2.218227816300177
0,1,4.0,3,2,3.3638415951183864,0,0,1,0,0,1,6,0,0,0.5606402658530644
0,1,29.69911764705882,0,0,3.357621598945279,1,0,0,1,0,0,1,1,2,3.357621598945279
1,1,29.69911764705882,1,1,2.7878344138303452,1,0,0,0,0,1,3,0,2,0.9292781379434484
1,0,29.0,0,0,2.4423470353692043,0,0,1,0,1,0,1,1,2,2.4423470353692043
0,1,19.0,0,0,2.2146605719425225,0,0,1,0,0,1,1,1,2,2.2146605719425225
1,0,17.0,4,2,2.188856327665703,0,0,1,0,0,1,7,0,1,0.31269376109510044
0,1,26.0,2,0,2.2682524139135403,0,0,1,0,0,1,3,0,2,0.7560841379711801
0,1,32.0,0,0,2.4423470353692043,0,0,1,0,1,0,1,1,2,2.4423470353692043
0,0,16.0,5,2,3.8691155044168695,0,0,1,0,0,1,8,0,1,0.4836394380521087
0,1,21.0,0,0,4.310799125385514,0,0,1,0,1,0,1,1,2,4.310799125385514
0,1,26.0,1,0,2.737880811060884,1,0,0,0,0,1,2,0,2,1.368940405530442
1,1,32.0,0,0,4.05171190165724,0,0,1,0,0,1,1,1,2,4.05171190165724
0,1,25.0,0,0,2.157559320943788,0,0,1,0,0,1,1,1,2,2.157559320943788
0,1,29.69911764705882,0,0,2.1855792552411137,0,0,1,0,0,1,1,1,2,2.1855792552411137
